"","Player","Team","Season","Minutes","Shots Faced","Goals Conceded","Saves","Header %","xG","G-xG","G/xG"
"","Matt Turner","NER","2020","2164","90","22","68","13.3%","29.27","-7.27","0.75"
"","Sean Johnson","NYC","2020","2288","107","25","81","18.7%","30.31","-5.31","0.82"
"","Clément Diop","MTL","2020","1985","110","35","73","16.4%","38.90","-3.90","0.90"
"","Dayne St. Clair","MIN","2020","1270","63","12","48","15.9%","15.60","-3.60","0.77"
"","Alex Bono","TOR","2020","295","16","0","16","25.0%","3.46","-3.46","0.00"
"","Joe Willis","NSH","2020","2235","92","22","69","14.1%","24.45","-2.45","0.90"
"","Bobby Shuttleworth","CHI","2020","1673","81","27","53","28.4%","29.32","-2.32","0.92"
"","Ryan Meara","NYRB","2020","1234","55","16","39","12.7%","18.27","-2.27","0.88"
"","Andre Blake","PHI","2020","2080","81","18","63","23.5%","20.26","-2.26","0.89"
"","Marko Maric","HOU","2020","2271","122","39","79","15.6%","41.00","-2.00","0.95"
"","Brian Rowe","ORL","2020","401","21","5","16","23.8%","6.86","-1.86","0.73"
"","Quentin Westberg","TOR","2020","1965","75","25","48","21.3%","26.80","-1.80","0.93"
"","Jimmy Maurer","FCD","2020","1521","68","13","54","17.6%","14.78","-1.78","0.88"
"","Jeff Attinella","POR","2020","97","7","3","4","14.3%","4.35","-1.35","0.69"
"","Eloy Room","CLB","2020","1655","57","15","41","8.8%","16.31","-1.31","0.92"
"","William Yarbrough","COL","2020","1384","69","19","48","2.9%","20.24","-1.24","0.94"
"","Stefan Frei","SEA","2020","2081","78","21","56","15.4%","21.96","-0.96","0.96"
"","Maxime Crépeau","VAN","2020","367","22","10","12","18.2%","10.51","-0.51","0.95"
"","David Jensen","NYRB","2020","1024","41","14","25","17.1%","14.39","-0.39","0.97"
"","Tim Melia","SKC","2020","1946","77","20","56","14.3%","20.29","-0.29","0.99"
"","Bryan Meredith","VAN","2020","292","27","7","20","22.2%","7.23","-0.23","0.97"
"","Bobby Edwards","CIN","2020","199","6","3","3","16.7%","3.18","-0.18","0.94"
"","Phelipe Megiolaro","FCD","2020","98","9","3","6","11.1%","3.12","-0.12","0.96"
"","Steve Clark","POR","2020","1979","94","29","64","14.9%","29.12","-0.12","1.00"
"","Matt Freese","PHI","2020","101","1","0","1","100.0%","0.10","-0.10","0.00"
"","Tyler Miller","MIN","2020","500","19","6","13","5.3%","5.85","0.15","1.03"
"","Andrew Tarbell","CLB","2020","623","24","6","17","12.5%","5.79","0.21","1.04"
"","Evan Bush","VAN","2020","793","32","10","22","9.4%","9.79","0.21","1.02"
"","Pedro Gallese","ORL","2020","1904","71","19","52","21.1%","18.79","0.21","1.01"
"","Brad Knighton","NER","2020","97","6","1","5","16.7%","0.78","0.22","1.28"
"","Jesse González","FCD","2020","200","5","2","3","20.0%","1.68","0.32","1.19"
"","Chris Seitz","DCU","2020","591","32","9","22","12.5%","8.66","0.34","1.04"
"","Kyle Zobeck","FCD","2020","356","18","6","11","5.6%","5.62","0.38","1.07"
"","Connor Sparrow","CHI","2020","98","7","3","4","0.0%","2.58","0.42","1.16"
"","James Pantemis","MTL","2020","294","24","7","17","8.3%","6.58","0.42","1.06"
"","Zac MacMath","RSL","2020","588","21","7","14","4.8%","6.52","0.48","1.07"
"","John McCarthy","MIA","2020","778","31","10","19","22.6%","9.48","0.52","1.05"
"","JT Marcinkowski","SJE","2020","1070","39","13","25","15.4%","12.46","0.54","1.04"
"","David Ochoa","RSL","2020","95","6","2","4","16.7%","1.23","0.77","1.62"
"","Bill Hamid","DCU","2020","1709","88","31","55","25.0%","29.98","1.02","1.03"
"","Aljaz Ivacic","POR","2020","193","8","3","5","12.5%","1.87","1.13","1.60"
"","Joe Bendik","PHI","2020","106","3","2","1","0.0%","0.76","1.24","2.61"
"","Richard Sánchez","SKC","2020","133","5","3","2","0.0%","1.75","1.25","1.72"
"","Pablo Sisniega","LAFC","2020","1371","58","21","35","20.7%","19.48","1.52","1.08"
"","Kenneth Kronholm","CHI","2020","504","17","8","7","11.8%","6.38","1.62","1.25"
"","Clint Irwin","COL","2020","392","22","8","14","13.6%","6.35","1.65","1.26"
"","Thomas Hasal","VAN","2020","835","50","14","35","10.0%","12.19","1.81","1.15"
"","Jonathan Klinsmann","LAG","2020","388","30","11","17","16.7%","8.50","2.50","1.29"
"","Luis Robles","MIA","2020","1514","58","24","34","6.9%","21.43","2.57","1.12"
"","Kenneth Vermeer","LAFC","2020","803","36","15","19","11.1%","12.42","2.58","1.21"
"","Brad Guzan","ATL","2020","2282","91","30","59","15.4%","27.35","2.65","1.10"
"","Greg Ranjitsingh","MIN","2020","297","22","7","15","0.0%","4.27","2.73","1.64"
"","Andrew Putna","RSL","2020","1462","62","24","38","17.7%","20.91","3.09","1.15"
"","Przemyslaw Tyton","CIN","2020","1184","48","18","30","14.6%","14.58","3.42","1.23"
"","Spencer Richey","CIN","2020","894","34","15","19","5.9%","11.46","3.54","1.31"
"","David Bingham","LAG","2020","1660","80","32","48","12.5%","27.04","4.96","1.18"
"","Daniel Vega","SJE","2020","1174","79","35","42","24.1%","29.82","5.18","1.17"
