,Player,Club,MINS,POS,player,club,value,age,join_age
0,Diego Rossi,LAFC,1698,F,D. Rossi,Los Angeles FC,€20.00m,23.0,19.0
1,Gyasi Zardes,CLB,1717,F,G. Zardes,Columbus Crew SC,€3.50m,29.0,26.0
2,Raul Ruidiaz,SEA,1427,F,R. Ruidíaz,Seattle Sounders FC,€7.00m,30.0,27.0
3,Robert Beric,CHI,1931,F,R. Beric,Chicago Fire FC,€3.00m,29.0,28.0
5,Chris Mueller,ORL,1477,F,C. Mueller,Orlando City SC,€3.00m,24.0,21.0
7,Alejandro Pozuelo,TOR,2015,M,A. Pozuelo,Toronto FC,€12.00m,29.0,27.0
8,Kevin Molino,CLB,1264,M,K. Molino,Columbus Crew SC,€2.00m,30.0,30.0
9,Ayo Akinola,TOR,1063,F,A. Akinola,Toronto FC,€5.00m,21.0,17.0
10,Diego Valeri,POR,1628,M,D. Váleri,Portland Timbers,€2.00m,34.0,27.0
12,Romell Quioto,MTL,1483,M,R. Quioto,Club de Foot Montréal,€2.00m,29.0,28.0
13,Kacper Przybylko,PHI,1974,F,K. Przybylko,Philadelphia Union,€2.00m,27.0,25.0
15,Jeremy Ebobisse,POR,1062,F,J. Ebobisse,Portland Timbers,€2.80m,24.0,19.0
16,Sergio Santos,PHI,1218,F,S. Santos,Philadelphia Union,€1.50m,26.0,24.0
17,Teal Bunbury,NE,1466,F,T. Bunbury,New England Revolution,€1.00m,31.0,23.0
18,Damir Kreilach,RSL,1770,M,D. Kreilach,Real Salt Lake City,€2.00m,31.0,28.0
19,Nicolas Lodeiro,SEA,1782,M,N. Lodeiro,Seattle Sounders FC,€5.00m,31.0,27.0
20,Darwin Quintero,HOU,1689,F,D. Quintero,Houston Dynamo FC,€1.60m,33.0,32.0
21,Robin Lod,MIN,1585,M,R. Lod,Minnesota United FC,€3.00m,27.0,26.0
22,Felipe Mora,POR,1204,F,F. Mora,Portland Timbers,€4.00m,27.0,27.0
23,Jaroslaw Niezgoda,POR,602,F,J. Niezgoda,Portland Timbers,€4.00m,25.0,24.0
24,Chris Wondolowski,SJ,1275,F,C. Wondolowski,San Jose Earthquakes,€300Th.,38.0,26.0
25,Franco Jara,DAL,1388,F,F. Jara,FC Dallas,€2.40m,32.0,31.0
26,Pedro Santos,CLB,1841,M,P. Santos,Columbus Crew SC,€2.00m,32.0,29.0
27,Alan Pulido,SKC,962,F,A. Pulido,Sporting Kansas City,€9.00m,29.0,28.0
29,Lucas Zelarayan,CLB,1039,M,L. Zelarayán,Columbus Crew SC,€10.00m,28.0,27.0
30,Gadi Kinda,SKC,1394,M,G. Kinda,Sporting Kansas City,€4.00m,26.0,26.0
31,Sebastian Lletget,LA,1692,M,S. Lletget,Los Angeles Galaxy,€2.50m,28.0,22.0
32,Johnny Russell,SKC,1529,F,J. Russell,Sporting Kansas City,€1.70m,30.0,27.0
33,Valentin Castellanos,NYC,1341,F,V. Castellanos,New York City FC,€4.00m,22.0,20.0
