,Player,Club,MINS,POS,player,club,value,age,join_age
0,Valentin Castellanos,NYC,1341,F,V. Castellanos,New York City FC,€4.00m,22.0,20.0
1,Jesus Medina,NYC,1495,M,J. Medina,New York City FC,€3.00m,23.0,20.0
2,Anton Tinnerholm,NYC,2001,D,A. Tinnerholm,New York City FC,€2.50m,30.0,26.0
3,Ismael Tajouri-Shradi,NYC,670,F,I. Tajouri-ShradiI,New York City FC,€1.00m,26.0,23.0
4,Keaton Parks,NYC,1733,M,K. Parks,New York City FC,€3.00m,23.0,22.0
5,Alexander Callens,NYC,1934,D,A. Callens,New York City FC,€1.80m,28.0,24.0
6,Maximiliano Moralez,NYC,875,M,M. Moralez,New York City FC,€1.50m,34.0,29.0
7,Tony Rocha,NYC,51,M,T. Rocha,New York City FC,€450Th.,27.0,25.0
8,Gudmundur Thorarinsson,NYC,683,D,G. Thórarinsson,New York City FC,€800Th.,28.0,27.0
9,James Sands,NYC,1409,M,J. Sands,New York City FC,€2.50m,20.0,16.0
10,Juan Pablo Torres,NYC,2,M,J. Torres,New York City FC,€150Th.,21.0,19.0
11,Sebastien Ibeagha,NYC,282,D,S. Ibeagha,New York City FC,€500Th.,29.0,26.0
12,Tayvon Gray,NYC,0,D,T. Gray,New York City FC,€50Th.,18.0,17.0
13,Justin Haak,NYC,0,M,J. Haak,New York City FC,€200Th.,19.0,17.0
14,Nicolas Acevedo,NYC,128,M,N. Acevedo,New York City FC,€2.00m,21.0,20.0
15,Maxime Chanot,NYC,1712,D,M. Chanot,New York City FC,€1.00m,31.0,26.0
