,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Squad,# Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA
Arsenal,28,26.6,52.5,26,286,2340,26.0,34,25,29,5,5,39,5,1.31,0.96,2.27,1.12,2.08,35.3,31.5,23.0,54.5,1.36,0.89,2.24,1.21,2.10
Aston Villa,21,25.8,48.9,25,275,2250,25.0,37,29,34,3,4,44,2,1.48,1.16,2.64,1.36,2.52,38.2,35.2,27.0,62.2,1.53,1.08,2.61,1.41,2.49
Brighton,26,26.3,52.4,26,286,2340,26.0,25,15,20,5,8,37,3,0.96,0.58,1.54,0.77,1.35,37.7,31.6,23.2,54.8,1.45,0.89,2.34,1.21,2.11
Burnley,24,29.0,41.3,27,297,2430,27.0,18,10,17,1,1,34,0,0.67,0.37,1.04,0.63,1.00,24.0,23.3,16.4,39.7,0.89,0.61,1.50,0.86,1.47
Chelsea,27,26.7,61.4,27,297,2430,27.0,41,28,35,6,8,35,1,1.52,1.04,2.56,1.30,2.33,41.7,35.6,26.4,62.1,1.55,0.98,2.52,1.32,2.30
Crystal Palace,22,29.7,40.7,27,297,2430,27.0,27,20,25,2,2,35,2,1.00,0.74,1.74,0.93,1.67,21.7,20.3,15.0,35.2,0.80,0.56,1.36,0.75,1.31
Everton,26,26.9,47.1,26,286,2340,26.0,38,26,35,3,3,43,2,1.46,1.00,2.46,1.35,2.35,31.6,29.4,21.2,50.6,1.22,0.82,2.03,1.13,1.95
Fulham,25,25.9,50.1,27,297,2430,27.0,20,15,18,2,5,49,3,0.74,0.56,1.30,0.67,1.22,29.9,26.9,20.5,47.4,1.11,0.76,1.87,1.00,1.76
Leeds United,22,26.7,60.5,26,286,2340,26.0,42,31,39,3,3,39,0,1.62,1.19,2.81,1.50,2.69,40.0,37.7,29.0,66.7,1.54,1.11,2.65,1.45,2.57
Leicester City,26,27.2,52.4,27,297,2430,27.0,43,28,35,8,10,49,0,1.59,1.04,2.63,1.30,2.33,38.9,31.3,21.2,52.5,1.44,0.79,2.23,1.16,1.94
Liverpool,28,27.6,63.6,27,297,2430,27.0,44,27,38,6,6,29,0,1.63,1.00,2.63,1.41,2.41,49.5,45.1,31.9,77.0,1.83,1.18,3.02,1.67,2.85
Manchester City,23,26.7,64.6,27,297,2430,27.0,55,37,51,4,7,29,0,2.04,1.37,3.41,1.89,3.26,51.6,46.3,36.3,82.6,1.91,1.34,3.25,1.72,3.06
Manchester Utd,25,26.5,56.4,27,297,2430,27.0,51,36,44,7,8,41,1,1.89,1.33,3.22,1.63,2.96,42.4,36.4,28.4,64.8,1.57,1.05,2.63,1.35,2.40
Newcastle Utd,27,27.6,38.4,26,286,2340,26.0,26,17,22,4,4,51,2,1.00,0.65,1.65,0.85,1.50,24.9,21.9,17.1,39.0,0.96,0.66,1.62,0.84,1.50
Sheffield Utd,24,27.2,41.0,27,297,2430,27.0,15,11,12,3,4,49,3,0.56,0.41,0.96,0.44,0.85,24.0,21.0,17.3,38.3,0.89,0.64,1.53,0.78,1.42
Southampton,29,27.5,53.1,26,286,2340,26.0,31,22,29,2,2,40,2,1.19,0.85,2.04,1.12,1.96,25.1,23.6,17.1,40.7,0.97,0.66,1.62,0.91,1.56
Tottenham,24,27.9,50.0,26,286,2340,26.0,41,35,38,3,3,36,1,1.58,1.35,2.92,1.46,2.81,34.2,31.9,24.3,56.2,1.32,0.93,2.25,1.23,2.16
West Brom,30,27.1,37.1,27,297,2430,27.0,19,11,17,2,2,38,4,0.70,0.41,1.11,0.63,1.04,19.1,17.6,11.1,28.7,0.71,0.41,1.12,0.65,1.06
West Ham,24,28.4,41.6,26,286,2340,26.0,38,28,37,1,1,32,1,1.46,1.08,2.54,1.42,2.50,35.5,34.7,24.2,58.9,1.36,0.93,2.30,1.34,2.27
Wolves,25,27.0,47.2,27,297,2430,27.0,26,15,22,4,4,42,1,0.96,0.56,1.52,0.81,1.37,27.4,24.4,18.8,43.2,1.02,0.69,1.71,0.90,1.60
